grid_cell_area_km2,polygon_area_km2,optimal_scale_factor
1,815,1
4,815,1
16,815,3
100,815,8
1,720,1
4,720,4
16,720,5
100,720,10
1,577,1
4,577,2
16,577,6
100,577,6
1,466,1
4,466,3
16,466,3
100,466,11
1,687,1
4,687,2
16,687,2
100,687,9
1,538,1
4,538,3
16,538,5
100,538,10
1,287,1
4,287,3
16,287,5
100,287,12
1,704,1
4,704,2
16,704,4
100,704,5
1,400,1
4,400,2
16,400,4
100,400,12
1,1121,1
4,1121,1
16,1121,2
100,1121,12
1,838,1
4,838,1
16,838,4
100,838,4
1,321,1
4,321,4
16,321,1
100,321,12
1,973,1
4,973,2
16,973,3
100,973,10
1,1341,1
4,1341,2
16,1341,3
100,1341,6
1,403,1
4,403,2
16,403,2
100,403,12
1,139,2
4,139,3
16,139,4
100,139,4
1,158,2
4,158,2
16,158,3
100,158,3
1,46,3
4,46,7
16,46,8
100,46,12
1,124,1
4,124,3
16,124,5
100,124,12
1,122,2
4,122,2
16,122,2
100,122,6
1,45,1
4,45,3
16,45,8
100,45,12
1,117,1
4,117,1
16,117,2
100,117,10
1,94,2
4,94,4
16,94,4
100,94,10
1,57,2
4,57,4
16,57,4
100,57,6
1,143,1
4,143,2
16,143,7
100,143,8
1,131,2
4,131,4
16,131,8
100,131,10
1,127,1
4,127,2
16,127,6
100,127,12
1,144,2
4,144,2
16,144,6
100,144,12
1,152,1
4,152,1
16,152,3
100,152,4
1,46,1
4,46,5
16,46,5
100,46,12
1,10441,1
4,10441,1
16,10441,1
100,10441,2
